      DATE     TIME    DEC_YEAR     MJD          E          N          U    E_HYDL    N_HYDL     U_HYDL    E_NTAL    N_NTAL    U_NTAL    E_NTOL    N_NTOL    U_NTOL    E_SLEL    N_SLEL    U_SLEL    E_sHAO    N_sHAO     U_sHAO    E_FULL    N_FULL     U_FULL  dE_GPS_HYDL  dN_GPS_HYDL  dU_GPS_HYDL  dE_GPS_NTAL  dN_GPS_NTAL  dU_GPS_NTAL  dE_GPS_NTOL  dN_GPS_NTOL  dU_GPS_NTOL  dE_GPS_SLEL  dN_GPS_SLEL  dU_GPS_SLEL  dE_GPS_sHAO  dN_GPS_sHAO  dU_GPS_sHAO  dE_GPS_FULL  dN_GPS_FULL  dU_GPS_FULL
2006-01-01 12:00:00 2006.001370 53736.5  30.212963 -79.047382  13.418281 -0.687807  2.449950  16.467351  0.413207  0.399221  0.728136  0.031644  0.028022 -0.157021  0.115455 -0.046650  0.290566 -0.242956  2.877192  17.038465 -0.127501  2.830543  17.329032    30.900770   -81.497332    -3.049070    29.799756   -79.446603    12.690145    30.181319   -79.075404    13.575302    30.097508   -79.000733    13.127715    30.455919   -81.924575    -3.620184    30.340464   -81.877925    -3.910751
2006-01-02 12:00:00 2006.004110 53737.5  25.439944 -81.108322   4.016594 -0.653265  2.383187  15.880264  0.361025  0.430061  0.621886  0.078085  0.079085 -0.084669  0.110007 -0.018924  0.286522 -0.214156  2.892333  16.417481 -0.104148  2.873408  16.704003    26.093210   -83.491509   -11.863670    25.078919   -81.538383     3.394708    25.361859   -81.187407     4.101264    25.329937   -81.089398     3.730073    25.654100   -84.000654   -12.400887    25.544092   -83.981730   -12.687409
2006-01-03 12:00:00 2006.006849 53738.5  24.674618 -80.279320   9.996804 -0.612760  2.315796  15.415481  0.272670  0.454337  0.436856  0.110190  0.171185  0.018514  0.088208  0.012495  0.284387 -0.229899  2.941317  15.870851 -0.141691  2.953811  16.155239    25.287377   -82.595115    -5.418676    24.401947   -80.733656     9.559948    24.564428   -80.450504     9.978290    24.586409   -80.291814     9.712417    24.904517   -83.220637    -5.874047    24.816308   -83.233131    -6.158434
2006-01-04 12:00:00 2006.009589 53739.5  26.697969 -81.431313   2.156331 -0.544329  2.221460  14.724204  0.266145  0.559207  0.947819  0.030724  0.242847  0.118161  0.064126  0.040474  0.263031 -0.247461  3.023514  15.790185 -0.183335  3.063988  16.053216    27.242298   -83.652773   -12.567874    26.431824   -81.990520     1.208512    26.667245   -81.674160     2.038169    26.633843   -81.471787     1.893300    26.945430   -84.454828   -13.633854    26.881304   -84.495301   -13.896885
2006-01-05 12:00:00 2006.012329 53740.5  25.279543 -78.320914  11.315283 -0.539952  2.171639  14.262717  0.239081  0.584136  1.802808  0.074606  0.150034  0.320530  0.048008  0.045059  0.271812 -0.226264  2.905810  16.386055 -0.178256  2.950869  16.657868    25.819495   -80.492553    -2.947434    25.040461   -78.905050     9.512475    25.204937   -78.470948    10.994752    25.231535   -78.365973    11.043470    25.505807   -81.226724    -5.070773    25.457799   -81.271783    -5.342585
2006-01-06 12:00:00 2006.015068 53741.5  27.534503 -78.517823   7.931891 -0.510635  2.110976  13.683785  0.169729  0.436400  1.556683 -0.001487  0.187033  0.255379  0.043663  0.009529  0.270441 -0.342393  2.734410  15.495847 -0.298729  2.743938  15.766288    28.045138   -80.628799    -5.751894    27.364774   -78.954223     6.375208    27.535991   -78.704856     7.676512    27.490840   -78.527351     7.661450    27.876896   -81.252232    -7.563956    27.833233   -81.261761    -7.834397
2006-01-07 12:00:00 2006.017808 53742.5  26.904685 -80.138485  15.676460 -0.490738  2.052680  13.014392  0.170522  0.359750  0.418352  0.177581  0.152913  0.108674  0.057905 -0.020343  0.241404 -0.142635  2.565344  13.541418 -0.084730  2.545001  13.782822    27.395422   -82.191165     2.662068    26.734163   -80.498235    15.258108    26.727104   -80.291397    15.567786    26.846780   -80.118142    15.435056    27.047320   -82.703828     2.135042    26.989415   -82.683486     1.893638
2006-01-08 12:00:00 2006.020548 53743.5  28.485508 -80.037789  11.370731 -0.443725  2.005904  12.593525  0.158445  0.352371  0.175740  0.065711  0.171540  0.048099  0.053539 -0.027727  0.227187 -0.219569  2.529814  12.817364 -0.166030  2.502087  13.044551    28.929232   -82.043693    -1.222794    28.327063   -80.390160    11.194991    28.419797   -80.209328    11.322632    28.431968   -80.010062    11.143545    28.705077   -82.567603    -1.446633    28.651537   -82.539876    -1.673819
2006-01-09 12:00:00 2006.023288 53744.5  26.131979 -78.370998   9.390121 -0.395956  1.905175  12.201673  0.144071  0.316791  0.372282 -0.076976  0.101036  0.092190  0.050923 -0.012807  0.242942 -0.328862  2.323002  12.666145 -0.277939  2.310194  12.909088    26.527936   -80.276173    -2.811552    25.987908   -78.687789     9.017838    26.208956   -78.472034     9.297931    26.081056   -78.358191     9.147178    26.460841   -80.694000    -3.276024    26.409918   -80.681192    -3.518967
2006-01-10 12:00:00 2006.026027 53745.5  27.998391 -79.617847   9.886490 -0.373142  1.806565  11.714269  0.174746  0.299349  0.683055 -0.134474 -0.007138 -0.065827  0.060839 -0.022421  0.223417 -0.332869  2.098775  12.331497 -0.272031  2.076354  12.554914    28.371532   -81.424412    -1.827778    27.823644   -79.917195     9.203435    28.132865   -79.610708     9.952317    27.937552   -79.595426     9.663073    28.331260   -81.716622    -2.445007    28.270421   -81.694201    -2.668424
2006-01-11 12:00:00 2006.028767 53746.5  26.753010 -78.130506   3.142455 -0.347722  1.693305  11.222233  0.239232  0.211191  0.722253  0.044313  0.088060 -0.135946  0.084904 -0.046043  0.188270 -0.064177  1.992557  11.808541  0.020727  1.946513  11.996811    27.100732   -79.823812    -8.079778    26.513777   -78.341697     2.420202    26.708697   -78.218567     3.278401    26.668106   -78.084463     2.954185    26.817187   -80.123063    -8.666086    26.732283   -80.077020    -8.854356
2006-01-12 12:00:00 2006.031507 53747.5  26.902829 -81.101434   0.698669 -0.317301  1.573825  10.645428  0.296267  0.165018  0.365185  0.144089  0.097129 -0.291338  0.094701 -0.045449  0.186874  0.123055  1.835972  10.719274  0.217756  1.790523  10.906149    27.220130   -82.675259    -9.946758    26.606561   -81.266452     0.333485    26.758740   -81.198564     0.990007    26.808128   -81.055986     0.511795    26.779773   -82.937406   -10.020605    26.685073   -82.891958   -10.207480
2006-01-14 12:00:00 2006.036986 53749.5  25.530383 -77.646565   6.492729 -0.348068  1.419444   9.926293  0.176207  0.101044  1.257730  0.188125  0.306983 -0.268439  0.098042 -0.036500  0.238820  0.016264  1.827471  10.915584  0.114306  1.790971  11.154404    25.878451   -79.066009    -3.433564    25.354176   -77.747609     5.234999    25.342258   -77.953548     6.761168    25.432341   -77.610065     6.253908    25.514119   -79.474036    -4.422855    25.416077   -79.437536    -4.661676
2006-01-15 12:00:00 2006.039726 53750.5  27.567372 -79.859328  14.961536 -0.387550  1.365439   9.447369  0.054857  0.122310  1.304935  0.204887  0.179406 -0.076683  0.083762 -0.043618  0.250363 -0.127805  1.667154  10.675621 -0.044043  1.623536  10.925984    27.954922   -81.224767     5.514166    27.512515   -79.981638    13.656601    27.362485   -80.038734    15.038219    27.483610   -79.815710    14.711173    27.695177   -81.526482     4.285914    27.611415   -81.482864     4.035552
2006-01-16 12:00:00 2006.042466 53751.5  26.972161 -80.117069  12.176450 -0.382291  1.333447   8.891209  0.089645  0.129737  0.957165  0.163362  0.264857 -0.164294  0.076013 -0.022287  0.224009 -0.129284  1.728041   9.684080 -0.053271  1.705754   9.908089    27.354452   -81.450516     3.285241    26.882516   -80.246807    11.219285    26.808799   -80.381926    12.340744    26.896148   -80.094783    11.952441    27.101445   -81.845110     2.492370    27.025432   -81.822823     2.268361
2006-01-17 12:00:00 2006.045205 53752.5  26.893424 -80.854999   2.767911 -0.406942  1.313820   8.350203  0.077393  0.175959  0.287402  0.311887  0.285565 -0.363940  0.075182  0.004148  0.174411 -0.017663  1.775343   8.273666  0.057519  1.779492   8.448076    27.300366   -82.168819    -5.582292    26.816031   -81.030958     2.480509    26.581537   -81.140564     3.131851    26.818242   -80.859148     2.593501    26.911087   -82.630343    -5.505754    26.835905   -82.634491    -5.680165
2006-01-18 12:00:00 2006.047945 53753.5  27.018933 -80.507085   4.092068 -0.436304  1.204346   7.717567  0.033598  0.270045 -0.189520  0.236224  0.410867 -0.530820  0.081848  0.002262  0.121292 -0.166481  1.885258   6.997227 -0.084633  1.887521   7.118519    27.455237   -81.711431    -3.625499    26.985335   -80.777131     4.281588    26.782709   -80.917952     4.622888    26.937085   -80.509348     3.970776    27.185414   -82.392344    -2.905159    27.103566   -82.394606    -3.026451
2006-01-19 12:00:00 2006.050685 53754.5  26.832993 -78.651909   2.936204 -0.396014  1.153101   7.230665  0.150624  0.513765  0.926315 -0.099148  0.004339 -0.195341  0.082930  0.025877  0.093003 -0.344538  1.671205   7.961640 -0.261608  1.697082   8.054643    27.229007   -79.805010    -4.294461    26.682369   -79.165673     2.009889    26.932140   -78.656248     3.131545    26.750062   -78.677786     2.843201    27.177531   -80.323113    -5.025436    27.094601   -80.348990    -5.118439
2006-01-20 12:00:00 2006.053425 53755.5  29.144686 -76.705759   6.185857 -0.371056  1.096249   7.003858  0.294310  0.544548  1.925040 -0.048744  0.259351 -0.012673  0.097107  0.039692  0.103903 -0.125490  1.900148   8.916224 -0.028383  1.939840   9.020127    29.515742   -77.802008    -0.818001    28.850376   -77.250307     4.260817    29.193429   -76.965110     6.198530    29.047579   -76.745451     6.081954    29.270175   -78.605907    -2.730367    29.173068   -78.645599    -2.834270
2006-01-21 12:00:00 2006.056164 53756.5  26.427905 -79.222350   5.721100 -0.365161  1.013034   6.493675  0.311060  0.465662  1.833851  0.252804  0.170794  0.198088  0.105945  0.059020  0.105080  0.198703  1.649490   8.525614  0.304648  1.708510   8.630694    26.793065   -80.235384    -0.772574    26.116845   -79.688012     3.887249    26.175101   -79.393144     5.523012    26.321960   -79.281370     5.616020    26.229201   -80.871840    -2.804513    26.123257   -80.930860    -2.909594
2006-01-22 12:00:00 2006.058904 53757.5  26.151599 -80.343491   9.578261 -0.375398  0.943934   6.039907  0.237970  0.512646  1.394723 -0.128370  0.221659  0.095609  0.103375  0.104373  0.074766 -0.265797  1.678240   7.530239 -0.162423  1.782613   7.605006    26.526997   -81.287425     3.538354    25.913629   -80.856137     8.183538    26.279969   -80.565150     9.482652    26.048225   -80.447864     9.503495    26.417396   -82.021731     2.048022    26.314022   -82.126104     1.973255
2006-01-23 12:00:00 2006.061644 53758.5  28.745109 -79.223231  10.401637 -0.386431  0.889465   5.526738  0.212534  0.552795  1.435233 -0.270310  0.151077  0.043795  0.093225  0.101945  0.062524 -0.444206  1.593337   7.005766 -0.350982  1.695282   7.068290    29.131540   -80.112696     4.874899    28.532575   -79.776026     8.966403    29.015419   -79.374308    10.357841    28.651884   -79.325176    10.339113    29.189315   -80.816568     3.395870    29.096091   -80.918513     3.333347
2006-01-24 12:00:00 2006.064384 53759.5  26.352639 -78.329687   5.628958 -0.411314  0.841371   5.240316  0.205286  0.559880  1.529849 -0.084858  0.237961 -0.235489  0.092378  0.089575  0.047567 -0.290887  1.639212   6.534675 -0.198509  1.728787   6.582242    26.763954   -79.171057     0.388642    26.147354   -78.889567     4.099110    26.437498   -78.567647     5.864447    26.260261   -78.419262     5.581392    26.643526   -79.968898    -0.905717    26.551148   -80.058473    -0.953284
2006-01-25 12:00:00 2006.067123 53760.5  25.605945 -80.421541   9.476404 -0.425440  0.816833   4.701355  0.176997  0.419465  0.650458 -0.004986  0.143562  0.183891  0.080044  0.072623  0.049281 -0.253429  1.379859   5.535704 -0.173385  1.452482   5.584985    26.031385   -81.238374     4.775049    25.428948   -80.841006     8.825947    25.610931   -80.565103     9.292513    25.525901   -80.494164     9.427123    25.859374   -81.801400     3.940700    25.779330   -81.874023     3.891419
2006-01-26 12:00:00 2006.069863 53761.5  26.133582 -80.463108   5.311659 -0.470520  0.776765   4.416568  0.120157  0.262050 -0.132414  0.045921  0.212682  0.093132  0.088428  0.047389  0.059907 -0.304442  1.251497   4.377286 -0.216014  1.298886   4.437193    26.604101   -81.239873     0.895091    26.013425   -80.725159     5.444073    26.087661   -80.675790     5.218527    26.045154   -80.510497     5.251752    26.438024   -81.714606     0.934373    26.349596   -81.761995     0.874466
2006-01-27 12:00:00 2006.072603 53762.5  25.221103 -78.579532  -1.986372 -0.482981  0.745247   4.044588  0.057904  0.229622 -0.190071  0.045146  0.189461  0.013136  0.087337  0.043289  0.061715 -0.379932  1.164331   3.867654 -0.292595  1.207620   3.929369    25.704084   -79.324779    -6.030960    25.163199   -78.809154    -1.796301    25.175957   -78.768993    -1.999508    25.133766   -78.622821    -2.048087    25.601034   -79.743863    -5.854025    25.513698   -79.787152    -5.915741
2006-01-28 12:00:00 2006.075342 53763.5  25.836219 -80.151888   0.642252 -0.518444  0.733231   3.697438  0.058048  0.270067 -0.285123  0.147210 -0.074726 -0.037203  0.074616  0.037947  0.067325 -0.313187  0.928572   3.375112 -0.238570  0.966519   3.442437    26.354663   -80.885120    -3.055186    25.778171   -80.421956     0.927375    25.689009   -80.077162     0.679454    25.761602   -80.189835     0.574927    26.149405   -81.080461    -2.732860    26.074789   -81.118407    -2.800185
2006-01-29 12:00:00 2006.078082 53764.5  26.793478 -81.218369   3.699652 -0.508517  0.675167   3.361309  0.109583  0.418806  0.527451  0.105673 -0.074953  0.002328  0.082113  0.029849  0.037624 -0.293262  1.019020   3.891088 -0.211149  1.048869   3.928711    27.301995   -81.893536     0.338343    26.683895   -81.637175     3.172202    26.687805   -81.143416     3.697325    26.711365   -81.248218     3.662029    27.086740   -82.237389    -0.191435    27.004627   -82.267238    -0.229059
