      DATE     TIME    DEC_YEAR     MJD          E          N          U    E_HYDL    N_HYDL     U_HYDL    E_NTAL    N_NTAL    U_NTAL    E_NTOL    N_NTOL    U_NTOL    E_SLEL    N_SLEL    U_SLEL    E_sHAO    N_sHAO     U_sHAO    E_FULL    N_FULL     U_FULL  dE_GPS_HYDL  dN_GPS_HYDL  dU_GPS_HYDL  dE_GPS_NTAL  dN_GPS_NTAL  dU_GPS_NTAL  dE_GPS_NTOL  dN_GPS_NTOL  dU_GPS_NTOL  dE_GPS_SLEL  dN_GPS_SLEL  dU_GPS_SLEL  dE_GPS_sHAO  dN_GPS_sHAO  dU_GPS_sHAO  dE_GPS_FULL  dN_GPS_FULL  dU_GPS_FULL
2010-04-07 12:00:00 2010.264384 55293.5  24.149040 -71.208343 -17.181447  0.345571 -2.170311 -17.804378 -0.073579  0.026785  0.050149 -0.429923 -0.079036  0.076818  0.012290  0.066199 -0.379187 -0.157932 -2.222562 -17.677412 -0.145642 -2.156363 -18.056598    23.803470   -69.038032     0.622931    24.222620   -71.235128   -17.231596    24.578964   -71.129307   -17.258265    24.136750   -71.274542   -16.802260    24.306973   -68.985781     0.495964    24.294682   -69.051980     0.875151
2010-04-08 12:00:00 2010.267123 55294.5  24.806230 -69.330411 -29.822222  0.411344 -2.120867 -17.978971  0.005449  0.023335 -0.376449  0.017403  0.191410 -0.075560  0.032249  0.103834 -0.394882  0.434197 -1.906122 -18.430980  0.466446 -1.802288 -18.825862    24.394886   -67.209543   -11.843251    24.800781   -69.353746   -29.445773    24.788827   -69.521821   -29.746662    24.773981   -69.434245   -29.427340    24.372034   -67.424289   -11.391242    24.339784   -67.528123   -10.996360
2010-04-09 12:00:00 2010.269863 55295.5  21.490043 -69.106914 -30.654160  0.495268 -2.021850 -18.221451  0.028741  0.085648 -0.368696  0.073965  0.446229 -0.078080  0.036107  0.138786 -0.377686  0.597973 -1.489973 -18.668226  0.634081 -1.351188 -19.045913    20.994776   -67.085064   -12.432709    21.461303   -69.192562   -30.285464    21.416078   -69.553143   -30.576080    21.453936   -69.245700   -30.276474    20.892070   -67.616941   -11.985934    20.855962   -67.755727   -11.608247
2010-04-10 12:00:00 2010.272603 55296.5  17.005169 -66.801277 -16.761567  0.476045 -1.952101 -18.272697 -0.091485  0.081723 -0.310256 -0.068980  0.445201 -0.438539 -0.004414  0.157069 -0.353153  0.315580 -1.425177 -19.021492  0.311167 -1.268108 -19.374645    16.529124   -64.849176     1.511130    17.096654   -66.883000   -16.451311    17.074149   -67.246478   -16.323028    17.009582   -66.958346   -16.408414    16.689589   -65.376100     2.259925    16.694002   -65.533169     2.613078
2010-04-11 12:00:00 2010.275342 55297.5  20.693986 -66.915046 -35.275595  0.468298 -1.849344 -18.714073 -0.093990  0.220274  0.286655 -0.411206  0.165989 -0.210290 -0.042209  0.184176 -0.360379 -0.036898 -1.463082 -18.637708 -0.079107 -1.278906 -18.998087    20.225687   -65.065702   -16.561523    20.787976   -67.135320   -35.562251    21.105192   -67.081035   -35.065305    20.736195   -67.099222   -34.915216    20.730884   -65.451964   -16.637888    20.773093   -65.636140   -16.277509
2010-04-12 12:00:00 2010.278082 55298.5  24.013283 -66.542275 -38.052908  0.562935 -1.823970 -19.631598  0.010743  0.263956  0.529245 -0.239704 -0.105353 -0.238189 -0.036432  0.180604 -0.383292  0.333975 -1.665367 -19.340543  0.297543 -1.484763 -19.723835    23.450348   -64.718306   -18.421310    24.002540   -66.806231   -38.582153    24.252987   -66.436922   -37.814719    24.049715   -66.722880   -37.669616    23.679308   -64.876908   -18.712365    23.715740   -65.057513   -18.329073
2010-04-13 12:00:00 2010.280822 55299.5  23.282396 -69.554916 -26.932680  0.584637 -1.745229 -19.446902  0.071966  0.100372  0.201162 -0.090298 -0.022756 -0.334386 -0.016411  0.140787 -0.398484  0.566305 -1.667614 -19.580125  0.549894 -1.526827 -19.978609    22.697759   -67.809686    -7.485778    23.210431   -69.655288   -27.133842    23.372694   -69.532159   -26.598294    23.298807   -69.695702   -26.534196    22.716091   -67.887302    -7.352555    22.732502   -68.028089    -6.954071
2010-04-14 12:00:00 2010.283562 55300.5  20.576609 -69.462449 -25.264126  0.540479 -1.639409 -19.330883 -0.010616 -0.011255 -0.168470 -0.011580 -0.113715 -0.299028 -0.019551  0.131508 -0.407167  0.518283 -1.764379 -19.798382  0.498732 -1.632871 -20.205549    20.036130   -67.823040    -5.933242    20.587224   -69.451194   -25.095655    20.588189   -69.348734   -24.965098    20.596159   -69.593958   -24.856958    20.058326   -67.698070    -5.465744    20.077877   -67.829578    -5.058577
2010-04-15 12:00:00 2010.286301 55301.5  23.942457 -69.004881 -26.819852  0.435211 -1.508414 -19.769686 -0.115039  0.025037  0.140066 -0.247869 -0.174474 -0.263755 -0.020643  0.130088 -0.409164  0.072302 -1.657851 -19.893375  0.051659 -1.527763 -20.302538    23.507246   -67.496467    -7.050166    24.057496   -69.029917   -26.959919    24.190327   -68.830407   -26.556098    23.963100   -69.134969   -26.410689    23.870155   -67.347030    -6.926478    23.890798   -67.477118    -6.517314
2010-04-16 12:00:00 2010.289041 55302.5  18.561395 -69.059332 -21.342454  0.518622 -1.365520 -20.775130 -0.081362  0.114082  0.115077 -0.401349 -0.354171  0.138112 -0.017184  0.129367 -0.410623  0.035911 -1.605610 -20.521941  0.018728 -1.476242 -20.932564    18.042773   -67.693812    -0.567324    18.642757   -69.173413   -21.457531    18.962744   -68.705161   -21.480566    18.578579   -69.188699   -20.931832    18.525484   -67.453722    -0.820513    18.542667   -67.583090    -0.409890
