      DATE     TIME    DEC_YEAR     MJD           E           N          U    E_HYDL    N_HYDL     U_HYDL    E_NTAL    N_NTAL    U_NTAL    E_NTOL    N_NTOL    U_NTOL    E_SLEL    N_SLEL    U_SLEL    E_sHAO    N_sHAO     U_sHAO    E_FULL    N_FULL     U_FULL  dE_GPS_HYDL  dN_GPS_HYDL  dU_GPS_HYDL  dE_GPS_NTAL  dN_GPS_NTAL  dU_GPS_NTAL  dE_GPS_NTOL  dN_GPS_NTOL  dU_GPS_NTOL  dE_GPS_SLEL  dN_GPS_SLEL  dU_GPS_SLEL  dE_GPS_sHAO  dN_GPS_sHAO  dU_GPS_sHAO  dE_GPS_FULL  dN_GPS_FULL  dU_GPS_FULL
2006-01-04 12:00:00 2006.009589 53739.5   26.627890  -85.346752  -4.682290  0.844293  0.034791   6.726969  0.264247  0.590270  1.047247  0.044180  0.280463  0.058033  0.056237  0.028292  0.274029  1.152720  0.905523   7.832249  1.208957  0.933816   8.106278    25.783597   -85.381543   -11.409259    26.363643   -85.937021    -5.729538    26.583710   -85.627214    -4.740323    26.571653   -85.375044    -4.956319    25.475170   -86.252275   -12.514539    25.418933   -86.280567   -12.788568
2006-01-05 12:00:00 2006.012329 53740.5   23.049777  -81.713395   5.313702  0.841349  0.024431   6.527816  0.188810  0.588279  1.957198  0.093738  0.191723  0.222016  0.041353  0.034864  0.281006  1.123897  0.804433   8.707031  1.165251  0.839297   8.988036    22.208429   -81.737825    -1.214115    22.860967   -82.301674     3.356503    22.956039   -81.905117     5.091685    23.008424   -81.748259     5.032696    21.925880   -82.517827    -3.393329    21.884527   -82.552692    -3.674335
2006-01-06 12:00:00 2006.015068 53741.5   27.801535  -84.196363   6.055287  0.853598  0.007355   6.274868  0.120015  0.445455  1.722743 -0.001681  0.209930  0.167432  0.035847 -0.000645  0.278119  0.971932  0.662740   8.165043  1.007780  0.662095   8.443162    26.947937   -84.203718    -0.219581    27.681520   -84.641818     4.332544    27.803216   -84.406293     5.887855    27.765688   -84.195718     5.777168    26.829603   -84.859103    -2.109756    26.793756   -84.858458    -2.387875
2006-01-07 12:00:00 2006.017808 53742.5   24.718644  -85.506303   7.325209  0.905819 -0.017026   5.989610  0.153399  0.420244  0.972944  0.179762  0.161493  0.062268  0.049977 -0.028677  0.247106  1.238981  0.564711   7.024822  1.288957  0.536034   7.271928    23.812825   -85.489278     1.335599    24.565245   -85.926548     6.352265    24.538882   -85.667796     7.262941    24.668667   -85.477627     7.078102    23.479663   -86.071014     0.300387    23.429687   -86.042338     0.053281
2006-01-08 12:00:00 2006.020548 53743.5   26.691368  -85.804804   7.264792  0.905308 -0.058536   5.841252  0.133718  0.407616  0.800910  0.085441  0.174943  0.048362  0.046370 -0.034769  0.232833  1.124467  0.524023   6.690524  1.170838  0.489254   6.923357    25.786060   -85.746268     1.423540    26.557650   -86.212419     6.463882    26.605927   -85.979747     7.216430    26.644997   -85.770035     7.031959    25.566901   -86.328826     0.574268    25.520530   -86.294057     0.341435
2006-01-10 12:00:00 2006.026027 53745.5   26.831050  -86.074038   6.160329  0.905902 -0.090173   5.473306  0.157592  0.322020  1.136873 -0.109157 -0.016590 -0.089226  0.052219 -0.032179  0.235022  0.954337  0.215257   6.520953  1.006555  0.183078   6.755975    25.925148   -85.983865     0.687023    26.673458   -86.396058     5.023456    26.940207   -86.057448     6.249556    26.778831   -86.041859     5.925307    25.876713   -86.289295    -0.360624    25.824495   -86.257116    -0.595646
2006-01-11 12:00:00 2006.028767 53746.5   27.611370  -81.491211  -8.079005  0.901670 -0.125512   5.121579  0.231173  0.193305  0.829032  0.066902  0.088469 -0.098972  0.076816 -0.054545  0.193341  1.199745  0.156261   5.851639  1.276561  0.101716   6.044980    26.709700   -81.365699   -13.200584    27.380198   -81.684516    -8.908037    27.544468   -81.579680    -7.980033    27.534554   -81.436667    -8.272345    26.411625   -81.647472   -13.930644    26.334810   -81.592928   -14.123984
2006-01-14 12:00:00 2006.036986 53749.5   21.766504  -81.725537  -3.392321  0.777326 -0.158672   3.908347  0.164359  0.093519  0.961891  0.190003  0.308753 -0.230728  0.088804 -0.043383  0.240765  1.131688  0.243600   4.639510  1.220493  0.200218   4.880275    20.989178   -81.566865    -7.300668    21.602145   -81.819056    -4.354212    21.576501   -82.034290    -3.161593    21.677700   -81.682154    -3.633086    20.634816   -81.969137    -8.031831    20.546011   -81.925754    -8.272596
2006-01-15 12:00:00 2006.039726 53750.5   26.154071  -82.304158   9.561820  0.700782 -0.145516   3.477284  0.040579  0.168248  1.083266  0.222470  0.199991 -0.108276  0.075332 -0.049570  0.251750  0.963831  0.222723   4.452274  1.039163  0.173153   4.704024    25.453290   -82.158643     6.084536    26.113492   -82.472406     8.478554    25.931601   -82.504149     9.670096    26.078739   -82.254589     9.310070    25.190241   -82.526882     5.109546    25.114909   -82.477312     4.857796
2006-01-16 12:00:00 2006.042466 53751.5   23.777754  -82.630164  -0.420533  0.680277 -0.118376   3.171980  0.088320  0.132355  0.624667  0.192824  0.241658 -0.067622  0.068659 -0.028063  0.216331  0.961420  0.255638   3.729025  1.030078  0.227574   3.945357    23.097478   -82.511789    -3.592514    23.689435   -82.762519    -1.045200    23.584931   -82.871822    -0.352912    23.709096   -82.602101    -0.636865    22.816334   -82.885802    -4.149559    22.747676   -82.857739    -4.365890
2006-01-28 12:00:00 2006.075342 53763.5   24.381219  -85.224905   0.564452  0.448904  0.417026  -0.619038  0.112166  0.336438 -0.368380  0.135327 -0.055694 -0.119074  0.072125  0.035399  0.061466  0.696397  0.697771  -1.106492  0.768523  0.733169  -1.045026    23.932315   -85.641931     1.183491    24.269053   -85.561343     0.932832    24.245893   -85.169211     0.683527    24.309094   -85.260304     0.502986    23.684822   -85.922676     1.670945    23.612697   -85.958075     1.609478
2006-01-29 12:00:00 2006.078082 53764.5   23.478046  -84.014666   0.153705  0.442148  0.454389  -0.944417  0.099329  0.456191  0.491309  0.111953 -0.065525 -0.047996  0.081974  0.029764  0.027696  0.653429  0.845054  -0.501104  0.735403  0.874818  -0.473408    23.035898   -84.469055     1.098122    23.378718   -84.470857    -0.337603    23.366094   -83.949141     0.201701    23.396073   -84.044430     0.126009    22.824617   -84.859720     0.654809    22.742643   -84.889484     0.627113
2006-01-31 12:00:00 2006.083562 53766.5   24.665731  -80.392934  -4.536498  0.522580  0.546451  -1.400794  0.131876  0.423398  0.440684  0.076090 -0.065317  0.213376  0.070071  0.022405 -0.010574  0.730546  0.904533  -0.746734  0.800617  0.926937  -0.757308    24.143151   -80.939385    -3.135704    24.533855   -80.816333    -4.977181    24.589642   -80.327618    -4.749874    24.595661   -80.415339    -4.525924    23.935186   -81.297467    -3.789764    23.865115   -81.319871    -3.779189
2006-02-01 12:00:00 2006.086301 53767.5   20.249566  -80.176855 -19.002388  0.538528  0.594553  -1.718943  0.145898  0.410609  0.471928 -0.220002  0.064748  0.072272  0.089402  0.007764 -0.029867  0.464424  1.069910  -1.174743  0.553826  1.077674  -1.204610    19.711038   -80.771408   -17.283445    20.103669   -80.587464   -19.474316    20.469569   -80.241602   -19.074660    20.160164   -80.184619   -18.972521    19.785143   -81.246764   -17.827645    19.695740   -81.254529   -17.797778
2006-02-02 12:00:00 2006.089041 53768.5   25.243839  -82.064405  11.990855  0.620647  0.599790  -2.278257  0.177189  0.458170  0.369523 -0.173407  0.373479  0.029009  0.093505  0.016320 -0.076970  0.624429  1.431439  -1.879725  0.717934  1.447760  -1.956695    24.623192   -82.664194    14.269113    25.066651   -82.522575    11.621332    25.417247   -82.437884    11.961846    25.150334   -82.080725    12.067825    24.619411   -83.495844    13.870580    24.525906   -83.512164    13.947550
2006-02-03 12:00:00 2006.091781 53769.5   25.066121  -85.516020  -8.830411  0.639689  0.612745  -2.440901  0.161583  0.516266  0.543689  0.165304  0.197261 -0.088894  0.086069  0.049489 -0.101611  0.966576  1.326272  -1.986106  1.052645  1.375761  -2.087717    24.426431   -86.128765    -6.389510    24.904538   -86.032286    -9.374100    24.900817   -85.713281    -8.741518    24.980052   -85.565509    -8.728801    24.099545   -86.842292    -6.844305    24.013475   -86.891781    -6.742695
2006-02-04 12:00:00 2006.094521 53770.5   23.458798  -83.897017  -6.909916  0.651445  0.640002  -2.629701  0.119663  0.523435  1.086743  0.255227  0.019207  0.155765  0.080045  0.070329 -0.077184  1.026335  1.182645  -1.387194  1.106380  1.252973  -1.464378    22.807354   -84.537019    -4.280216    23.339136   -84.420452    -7.996659    23.203571   -83.916223    -7.065681    23.378753   -83.967345    -6.832732    22.432464   -85.079661    -5.522723    22.352418   -85.149990    -5.445539
2006-02-05 12:00:00 2006.097260 53771.5   25.578848  -85.844248 -11.499733  0.693099  0.678608  -2.825142  0.115824  0.429902  1.384696  0.137412  0.039311 -0.011885  0.085827  0.053698 -0.047264  0.946335  1.147821  -1.452332  1.032162  1.201518  -1.499596    24.885750   -86.522856    -8.674591    25.463025   -86.274150   -12.884429    25.441436   -85.883560   -11.487848    25.493021   -85.897946   -11.452469    24.632514   -86.992069   -10.047402    24.546686   -87.045767   -10.000138
2006-02-06 12:00:00 2006.100000 53772.5   22.595953  -83.073429 -15.234664  0.742702  0.702686  -3.095040  0.112779  0.296468  0.911725 -0.118170 -0.097569 -0.166706  0.072303  0.038816 -0.047881  0.737311  0.901586  -2.350020  0.809614  0.940401  -2.397901    21.853251   -83.776115   -12.139625    22.483174   -83.369897   -16.146390    22.714123   -82.975860   -15.067958    22.523651   -83.112245   -15.186783    21.858642   -83.975014   -12.884644    21.786339   -84.013830   -12.836763
2006-02-07 12:00:00 2006.102740 53773.5   23.979414  -80.546049  -5.344633  0.781055  0.716389  -3.289580  0.013651  0.286237  1.191718 -0.063328 -0.050975 -0.052406  0.052173  0.038404 -0.054209  0.731378  0.951651  -2.150268  0.783551  0.990054  -2.204477    23.198360   -81.262438    -2.055052    23.965763   -80.832286    -6.536351    24.042742   -80.495074    -5.292227    23.927242   -80.584453    -5.290424    23.248036   -81.497700    -3.194365    23.195864   -81.536103    -3.140156
2006-02-08 12:00:00 2006.105479 53774.5   24.327227  -82.072077  -9.396963  0.858870  0.754112  -3.566084  0.015216  0.231071  0.975601 -0.075023 -0.031338 -0.342030  0.042280  0.022031 -0.085961  0.799062  0.953846  -2.932513  0.841343  0.975877  -3.018474    23.468357   -82.826189    -5.830880    24.312011   -82.303148   -10.372564    24.402250   -82.040739    -9.054933    24.284947   -82.094108    -9.311003    23.528164   -83.025922    -6.464450    23.485884   -83.047954    -6.378489
2006-02-09 12:00:00 2006.108219 53775.5   21.040559  -82.413354 -18.880214  0.858078  0.741572  -3.688150  0.064385  0.001035 -0.054747  0.135574 -0.062326 -0.167183  0.045801  0.021951 -0.085325  1.058037  0.680281  -3.910079  1.103837  0.702232  -3.995404    20.182481   -83.154926   -15.192065    20.976174   -82.414389   -18.825468    20.904986   -82.351027   -18.713032    20.994758   -82.435304   -18.794889    19.982523   -83.093635   -14.970135    19.936722   -83.115585   -14.884810
2006-02-10 12:00:00 2006.110959 53776.5   26.031203  -81.836741 -14.491261  0.849238  0.734705  -3.876233  0.082139 -0.093016 -0.794387  0.253914  0.250372 -0.135765  0.074063  0.028796 -0.084129  1.185292  0.892061  -4.806384  1.259355  0.920857  -4.890513    25.181965   -82.571446   -10.615028    25.949064   -81.743725   -13.696874    25.777289   -82.087113   -14.355496    25.957140   -81.865538   -14.407132    24.845911   -82.728802    -9.684876    24.771848   -82.757599    -9.600748
2006-02-12 12:00:00 2006.116438 53778.5   23.580892  -80.423480 -10.998601  0.892360  0.687357  -4.267149  0.063006  0.119836  0.274163  0.040146  0.092812 -0.037214  0.074837  0.037556 -0.063907  0.995512  0.900006  -4.030200  1.070349  0.937561  -4.094107    22.688532   -81.110838    -6.731453    23.517886   -80.543316   -11.272764    23.540746   -80.516293   -10.961388    23.506055   -80.461036   -10.934695    22.585380   -81.323486    -6.968401    22.510543   -81.361042    -6.904495
2006-02-14 12:00:00 2006.121918 53780.5   22.118185  -83.047315 -21.651621  0.896452  0.526544  -4.458810  0.094270  0.106963  0.199257 -0.020386  0.035581 -0.132642  0.070756  0.049866 -0.111682  0.970337  0.669088  -4.392194  1.041093  0.718954  -4.503877    21.221733   -83.573859   -17.192811    22.023914   -83.154278   -21.850878    22.138570   -83.082897   -21.518979    22.047429   -83.097181   -21.539938    21.147848   -83.716403   -17.259426    21.077092   -83.766269   -17.147744
2006-02-15 12:00:00 2006.124658 53781.5   23.769394  -83.811122 -20.138034  0.927247  0.501388  -4.524514 -0.000348  0.187619  0.518196  0.082215  0.007413 -0.282545  0.057727  0.058735 -0.085048  1.009114  0.696421  -4.288863  1.066841  0.755156  -4.373911    22.842147   -84.312511   -15.613520    23.769742   -83.998742   -20.656230    23.687179   -83.818535   -19.855489    23.711667   -83.869858   -20.052986    22.760280   -84.507543   -15.849171    22.702553   -84.566279   -15.764123
2006-02-17 12:00:00 2006.130137 53783.5   24.652862  -82.262142 -16.352389  1.002159  0.488675  -4.644265 -0.004862  0.101942  1.285076  0.489598 -0.040774 -0.155165  0.038774  0.072765 -0.083454  1.486895  0.549843  -3.514354  1.525668  0.622608  -3.597809    23.650703   -82.750817   -11.708124    24.657724   -82.364084   -17.637465    24.163264   -82.221368   -16.197224    24.614088   -82.334907   -16.268935    23.165967   -82.811985   -12.838035    23.127193   -82.884750   -12.754580
2006-02-18 12:00:00 2006.132877 53784.5   25.356289  -79.253390 -12.153732  1.009727  0.479070  -4.808588  0.079813  0.138158  1.323899  0.341088  0.126638 -0.128034  0.081136  0.060355 -0.111446  1.430628  0.743866  -3.612723  1.511764  0.804221  -3.724169    24.346562   -79.732460    -7.345145    25.276477   -79.391549   -13.477631    25.015201   -79.380028   -12.025698    25.275153   -79.313745   -12.042286    23.925661   -79.997257    -8.541009    23.844525   -80.057612    -8.429563
2006-02-19 12:00:00 2006.135616 53785.5   20.395736  -80.141352 -22.747268  0.981351  0.368444  -5.207610  0.123245  0.080731  0.468120  0.115255  0.168338 -0.260637  0.099393  0.036568 -0.150399  1.219851  0.617514  -5.000126  1.319243  0.654082  -5.150525    19.414385   -80.509796   -17.539658    20.272492   -80.222083   -23.215388    20.280481   -80.309691   -22.486631    20.296344   -80.177920   -22.596869    19.175885   -80.758866   -17.747141    19.076493   -80.795434   -17.596743
2006-02-21 12:00:00 2006.141096 53787.5   25.133901  -80.112891 -17.543972  1.014692  0.374287  -5.381397  0.093640  0.404996  0.401479  0.086295 -0.033621 -0.345681  0.112687  0.051888 -0.204697  1.194627  0.745662  -5.325599  1.307314  0.797550  -5.530297    24.119209   -80.487178   -12.162575    25.040262   -80.517887   -17.945451    25.047606   -80.079271   -17.198291    25.021214   -80.164779   -17.339275    23.939274   -80.858553   -12.218373    23.826587   -80.910441   -12.013675
2006-02-22 12:00:00 2006.143836 53788.5   21.912505  -79.396453  -7.472660  1.019419  0.392872  -5.668542  0.096231  0.596444  0.938532  0.071548  0.033866  0.035457  0.111571  0.088879 -0.182745  1.187198  1.023181  -4.694553  1.298768  1.112060  -4.877298    20.893086   -79.789325    -1.804118    21.816274   -79.992897    -8.411192    21.840957   -79.430319    -7.508117    21.800934   -79.485332    -7.289915    20.725307   -80.419635    -2.778107    20.613737   -80.508514    -2.595362
