      DATE     TIME    DEC_YEAR     MJD          E          N          U    E_HYDL    N_HYDL     U_HYDL    E_NTAL    N_NTAL    U_NTAL    E_NTOL    N_NTOL    U_NTOL    E_SLEL    N_SLEL    U_SLEL    E_sHAO    N_sHAO     U_sHAO    E_FULL    N_FULL     U_FULL  dE_GPS_HYDL  dN_GPS_HYDL  dU_GPS_HYDL  dE_GPS_NTAL  dN_GPS_NTAL  dU_GPS_NTAL  dE_GPS_NTOL  dN_GPS_NTOL  dU_GPS_NTOL  dE_GPS_SLEL  dN_GPS_SLEL  dU_GPS_SLEL  dE_GPS_sHAO  dN_GPS_sHAO  dU_GPS_sHAO  dE_GPS_FULL  dN_GPS_FULL  dU_GPS_FULL
2007-09-05 12:00:00 2007.678082 54348.5  19.369362 -67.107936   1.925978 -1.021535  0.122431  11.587024 -0.027770 -0.178991 -1.199183 -0.170272 -0.041978 -0.585123 -0.011721 -0.115602  0.164006 -1.219577 -0.098538   9.802718 -1.231298 -0.214141   9.966724    20.390898   -67.230367    -9.661045    19.397133   -66.928945     3.125162    19.539634   -67.065957     2.511101    19.381084   -66.992334     1.761972    20.588939   -67.009397    -7.876740    20.600661   -66.893795    -8.040746
2007-09-06 12:00:00 2007.680822 54349.5  18.248877 -65.073884 -12.023782 -1.017520  0.141244  11.447626  0.004980 -0.163072 -2.138192  0.164546 -0.034007 -0.322408 -0.002570 -0.100537  0.169439 -0.847993 -0.055835   8.987027 -0.850563 -0.156372   9.156465    19.266397   -65.215128   -23.471408    18.243897   -64.910812    -9.885590    18.084331   -65.039877   -11.701374    18.251447   -64.973347   -12.193220    19.096870   -65.018049   -21.010808    19.099440   -64.917512   -21.180247
2007-09-07 12:00:00 2007.683562 54350.5  18.983468 -66.725985   2.802109 -1.031116  0.131254  11.379346 -0.064430 -0.057106 -1.744972 -0.054025 -0.129267 -0.163371 -0.026075 -0.074690  0.195009 -1.149571 -0.055118   9.471003 -1.175646 -0.129808   9.666012    20.014584   -66.857239    -8.577237    19.047898   -66.668879     4.547081    19.037492   -66.596718     2.965480    19.009543   -66.651295     2.607100    20.133039   -66.670866    -6.668894    20.159114   -66.596176    -6.863903
2007-09-08 12:00:00 2007.686301 54351.5  21.512914 -64.602277   0.279467 -1.050719  0.114568  11.365648 -0.141424 -0.018374 -0.633560 -0.057325 -0.101551 -0.185140 -0.041842 -0.069266  0.204667 -1.249468 -0.005356  10.546948 -1.291310 -0.074622  10.751615    22.563634   -64.716845   -11.086182    21.654338   -64.583903     0.913027    21.570239   -64.500727     0.464607    21.554757   -64.533011     0.074800    22.762382   -64.596921   -10.267482    22.804224   -64.527655   -10.472149
2007-09-09 12:00:00 2007.689041 54352.5  19.945653 -66.403287   4.637944 -1.067243  0.130224  11.374578 -0.169050  0.064463 -0.051496  0.061069 -0.130455 -0.148127 -0.039277 -0.056221  0.188550 -1.175224  0.064233  11.174955 -1.214501  0.008012  11.363505    21.012896   -66.533511    -6.736634    20.114703   -66.467749     4.689439    19.884584   -66.272832     4.786071    19.984930   -66.347066     4.449394    21.120877   -66.467519    -6.537011    21.160154   -66.411298    -6.725561
2007-09-10 12:00:00 2007.691781 54353.5  20.514503 -67.285350   1.847117 -1.091560  0.149206  11.449191 -0.133125  0.046516  0.244814  0.040794 -0.152944  0.131567 -0.026746 -0.067726  0.212900 -1.183892  0.042778  11.825572 -1.210638 -0.024948  12.038472    21.606063   -67.434555    -9.602074    20.647628   -67.331865     1.602303    20.473709   -67.132406     1.715550    20.541249   -67.217624     1.634217    21.698394   -67.328127    -9.978455    21.725141   -67.260402   -10.191355
2007-09-11 12:00:00 2007.694521 54354.5  23.103003 -67.155057   2.771954 -1.110088  0.152417  11.563013 -0.095939 -0.057685  0.534699 -0.118052 -0.051949  0.332527 -0.016640 -0.069682  0.233956 -1.324078  0.042784  12.430238 -1.340718 -0.026898  12.664194    24.213091   -67.307474    -8.791059    23.198942   -67.097372     2.237255    23.221055   -67.103108     2.439427    23.119643   -67.085375     2.537998    24.427081   -67.197841    -9.658284    24.443721   -67.128159    -9.892240
2007-09-12 12:00:00 2007.697260 54355.5  18.301545 -69.764866  -5.231844 -1.106043  0.189383  11.585464 -0.082195 -0.186370  0.444476 -0.222038  0.025003 -0.273457 -0.015975 -0.081892  0.251755 -1.410275  0.028016  11.756483 -1.426250 -0.053877  12.008238    19.407588   -69.954249   -16.817308    18.383740   -69.578496    -5.676321    18.523583   -69.789868    -4.958387    18.317521   -69.682973    -5.483599    19.711820   -69.792882   -16.988327    19.727796   -69.710989   -17.240082
2007-09-13 12:00:00 2007.700000 54356.5  20.625069 -66.451780   1.284654 -1.117781  0.223297  11.423776 -0.132222 -0.103807  0.713232 -0.310287 -0.044684 -0.598294 -0.010870 -0.093787  0.270255 -1.560290  0.074806  11.538715 -1.571160 -0.018981  11.808970    21.742849   -66.675077   -10.139122    20.757291   -66.347973     0.571422    20.935356   -66.407096     1.882948    20.635938   -66.357993     1.014399    22.185359   -66.526586   -10.254061    22.196228   -66.432799   -10.524316
2007-09-14 12:00:00 2007.702740 54357.5  18.312613 -63.258832  -5.439281 -1.138762  0.216828  11.361109 -0.136220 -0.132334  0.926590 -0.351622  0.083696 -0.288329 -0.014120 -0.100384  0.281284 -1.626604  0.168190  11.999371 -1.640724  0.067806  12.280654    19.451375   -63.475660   -16.800390    18.448833   -63.126498    -6.365871    18.664235   -63.342528    -5.150952    18.326732   -63.158448    -5.720565    19.939217   -63.427022   -17.438652    19.953337   -63.326638   -17.719935
2007-09-15 12:00:00 2007.705479 54358.5  17.716136 -67.854125   6.807790 -1.179824  0.206990  11.312254 -0.067483 -0.208655  0.115036 -0.322775  0.007915  0.076718 -0.014290 -0.092894  0.255329 -1.570081  0.006250  11.504008 -1.584371 -0.086645  11.759337    18.895961   -68.061115    -4.504463    17.783619   -67.645470     6.692754    18.038911   -67.862039     6.731072    17.730426   -67.761230     6.552461    19.286218   -67.860374    -4.696218    19.300508   -67.767480    -4.951547
2007-09-16 12:00:00 2007.708219 54359.5  20.053300 -66.138999  -2.975961 -1.177656  0.193238  11.185180 -0.099363 -0.148153 -0.664690 -0.451296  0.000726 -0.161297 -0.021684 -0.088727  0.237005 -1.728314  0.045811  10.359193 -1.749998 -0.042916  10.596198    21.230955   -66.332237   -14.161141    20.152662   -65.990846    -2.311271    20.504595   -66.139725    -2.814664    20.074984   -66.050272    -3.212966    21.781614   -66.184810   -13.335154    21.803298   -66.096083   -13.572159
2007-09-17 12:00:00 2007.710959 54360.5  17.323637 -62.812694  -9.155470 -1.181849  0.165781  11.204860 -0.055990 -0.046496 -0.634158 -0.285667  0.094735 -0.156731 -0.013997 -0.095387  0.241378 -1.523505  0.214019  10.413971 -1.537502  0.118633  10.655349    18.505486   -62.978474   -20.360330    17.379627   -62.766198    -8.521311    17.609304   -62.907429    -8.998739    17.337634   -62.717307    -9.396848    18.847142   -63.026713   -19.569440    18.861139   -62.931326   -19.810818
2007-09-18 12:00:00 2007.713699 54361.5  19.325253 -64.381355  -1.171644 -1.160690  0.139425  11.300473 -0.040468  0.074385  0.209354 -0.189452  0.021425 -0.033516 -0.008029 -0.070933  0.265243 -1.390610  0.235236  11.476311 -1.398639  0.164303  11.741554    20.485942   -64.520781   -12.472117    19.365720   -64.455740    -1.380999    19.514705   -64.402780    -1.138128    19.333282   -64.310423    -1.436887    20.715862   -64.616591   -12.647955    20.723892   -64.545658   -12.913198
2007-09-19 12:00:00 2007.716438 54362.5  22.024044 -64.650820  -2.467936 -1.163653  0.159841  11.353443  0.045538  0.008413  0.117524 -0.514660 -0.121807 -0.476434 -0.000480 -0.067999  0.271769 -1.632776  0.046447  10.994533 -1.633256 -0.021552  11.266301    23.187697   -64.810661   -13.821379    21.978506   -64.659233    -2.585460    22.538704   -64.529012    -1.991502    22.024524   -64.582820    -2.739704    23.656819   -64.697267   -13.462469    23.657300   -64.629268   -13.734237
2007-09-20 12:00:00 2007.719178 54363.5  20.909004 -65.586105  -1.609040 -1.206917  0.168978  11.072795 -0.007472  0.112108  0.254897 -0.594651 -0.273162 -0.814070  0.013064 -0.073841  0.257280 -1.809040  0.007924  10.513622 -1.795976 -0.065917  10.770903    22.115922   -65.755083   -12.681835    20.916476   -65.698213    -1.863937    21.503655   -65.312943    -0.794970    20.895940   -65.512264    -1.866320    22.718044   -65.594029   -12.122662    22.704980   -65.520188   -12.379943
2007-09-21 12:00:00 2007.721918 54364.5  19.838714 -67.455349  -6.523106 -1.223549  0.181809  10.965672  0.014188  0.260539 -0.259807 -0.493026 -0.048694 -0.415157  0.022573 -0.056164  0.254428 -1.702387  0.393654  10.290708 -1.679814  0.337490  10.545136    21.062263   -67.637157   -17.488778    19.824527   -67.715888    -6.263299    20.331740   -67.406655    -6.107949    19.816141   -67.399185    -6.777534    21.541101   -67.849003   -16.813814    21.518528   -67.792839   -17.068242
2007-09-22 12:00:00 2007.724658 54365.5  17.703998 -65.448127 -10.278648 -1.220518  0.163131  11.122213  0.043465  0.263339 -0.484556 -0.228947 -0.065453 -0.269219  0.018149 -0.046644  0.235557 -1.406000  0.361016  10.368438 -1.387851  0.314372  10.603996    18.924515   -65.611258   -21.400861    17.660533   -65.711466    -9.794093    17.932945   -65.382675   -10.009429    17.685849   -65.401483   -10.514205    19.109998   -65.809144   -20.647086    19.091849   -65.762500   -20.882644
2007-09-23 12:00:00 2007.727397 54366.5  17.153228 -64.390226  -1.793223 -1.225141  0.144089  11.261226 -0.018327  0.190303  0.291943 -0.385981 -0.149341 -0.289399  0.002167 -0.047069  0.260274 -1.629449  0.185052  11.263770 -1.627282  0.137983  11.524045    18.378369   -64.534315   -13.054449    17.171556   -64.580529    -2.085166    17.539209   -64.240885    -1.503824    17.151061   -64.343156    -2.053497    18.782678   -64.575278   -13.056993    18.780510   -64.528208   -13.317267
2007-09-24 12:00:00 2007.730137 54367.5  19.042155 -67.159000 -10.917463 -1.199271  0.124913  10.842646  0.177468 -0.189052 -0.680791 -0.356787  0.074775 -0.217679 -0.008792 -0.060525  0.276474 -1.378591  0.010636   9.944175 -1.387383 -0.049889  10.220649    20.241426   -67.283914   -21.760109    18.864688   -66.969949   -10.236672    19.398943   -67.233775   -10.699784    19.050948   -67.098476   -11.193937    20.420746   -67.169637   -20.861639    20.429539   -67.109112   -21.138112
