      DATE     TIME    DEC_YEAR     MJD          E           N          U    E_HYDL    N_HYDL     U_HYDL    E_NTAL    N_NTAL    U_NTAL    E_NTOL    N_NTOL    U_NTOL    E_SLEL    N_SLEL    U_SLEL    E_sHAO    N_sHAO     U_sHAO    E_FULL    N_FULL     U_FULL  dE_GPS_HYDL  dN_GPS_HYDL  dU_GPS_HYDL  dE_GPS_NTAL  dN_GPS_NTAL  dU_GPS_NTAL  dE_GPS_NTOL  dN_GPS_NTOL  dU_GPS_NTOL  dE_GPS_SLEL  dN_GPS_SLEL  dU_GPS_SLEL  dE_GPS_sHAO  dN_GPS_sHAO  dU_GPS_sHAO  dE_GPS_FULL  dN_GPS_FULL  dU_GPS_FULL
2000-01-04 12:00:00 2000.009563 51547.5  39.603220 -172.093354 -15.831012  1.312406 -0.439257   2.930679  0.579663  0.146130  2.445779  0.119777  0.194277  0.120866  0.025079  0.148119  0.120760  2.011847 -0.098849   5.497324  2.036926  0.049270   5.618084    38.290814  -171.654097   -18.761691    39.023557  -172.239484   -18.276790    39.483443  -172.287631   -15.951878    39.578141  -172.241473   -15.951771    37.591373  -171.994505   -21.328336    37.566294  -172.142623   -21.449096
2000-01-05 12:00:00 2000.012295 51548.5  42.131802 -169.495857 -15.034453  1.314217 -0.382795   2.842485  0.485683  0.253950  1.765234  0.020748  0.106141  0.298099  0.027774  0.137253  0.089837  1.820648 -0.022703   4.905818  1.848422  0.114549   4.995655    40.817585  -169.113062   -17.876937    41.646119  -169.749807   -16.799686    42.111054  -169.601997   -15.332552    42.104028  -169.633109   -15.124290    40.311154  -169.473153   -19.940270    40.283380  -169.610406   -20.030107
2000-01-06 12:00:00 2000.015027 51549.5  41.056770 -171.966406 -22.651436  1.297037 -0.358376   2.749465  0.293838  0.276567  1.164009  0.082657  0.080651  0.489648  0.042667  0.128612  0.085833  1.673532 -0.001158   4.403122  1.716198  0.127454   4.488955    39.759734  -171.608031   -25.400901    40.762933  -172.242974   -23.815445    40.974113  -172.047057   -23.141084    41.014104  -172.095018   -22.737269    39.383239  -171.965249   -27.054558    39.340572  -172.093860   -27.140391
2000-01-07 12:00:00 2000.017760 51550.5  43.626538 -176.149223 -26.662398  1.276139 -0.335487   2.612217  0.278487  0.075988  1.263614  0.338638  0.056877  0.191205  0.060383  0.084070  0.089908  1.893264 -0.202622   4.067037  1.953646 -0.118552   4.156945    42.350399  -175.813736   -29.274616    43.348051  -176.225212   -27.926012    43.287900  -176.206100   -26.853604    43.566155  -176.233294   -26.752306    41.733275  -175.946601   -30.729435    41.672892  -176.030672   -30.819343
2000-01-08 12:00:00 2000.020492 51551.5  41.305758 -173.196036 -24.882870  1.251298 -0.307048   2.592701  0.314604 -0.072316  1.051743  0.448411  0.010131 -0.492900  0.085641  0.033704  0.069296  2.014313 -0.369232   3.151544  2.099954 -0.335529   3.220840    40.054460  -172.888988   -27.475571    40.991154  -173.123720   -25.934614    40.857347  -173.206167   -24.389971    41.220117  -173.229740   -24.952166    39.291445  -172.826803   -28.034415    39.205804  -172.860507   -28.103711
2000-01-09 12:00:00 2000.023224 51552.5  42.112162 -169.920707 -24.667434  1.244681 -0.282460   2.620673  0.319838  0.003103  0.401071  0.336923  0.255897  0.196449  0.115085  0.019745  0.022766  1.901442 -0.023459   3.218193  2.016527 -0.003714   3.240960    40.867481  -169.638248   -27.288108    41.792325  -169.923811   -25.068505    41.775239  -170.176605   -24.863883    41.997078  -169.940452   -24.690200    40.210720  -169.897248   -27.885628    40.095636  -169.916993   -27.908394
2000-01-10 12:00:00 2000.025956 51553.5  45.314831 -167.499148 -35.110494  1.208715 -0.287459   2.625961  0.319785  0.127075  0.392623  0.352134  0.280106  0.172348  0.113557  0.048654  0.013019  1.880634  0.119722   3.190932  1.994191  0.168376   3.203950    44.106116  -167.211688   -37.736455    44.995046  -167.626223   -35.503117    44.962697  -167.779254   -35.282842    45.201273  -167.547801   -35.123513    43.434197  -167.618870   -38.301426    43.320640  -167.667524   -38.314444
2000-01-11 12:00:00 2000.028689 51554.5  38.921178 -172.599249 -31.438453  1.181143 -0.289085   2.668770  0.415569  0.223896  1.173481  0.197473  0.322666  0.594081  0.098438  0.097318  0.034769  1.794185  0.257477   4.436332  1.892623  0.354795   4.471101    37.740035  -172.310164   -34.107223    38.505608  -172.823144   -32.611933    38.723705  -172.921914   -32.032534    38.822740  -172.696566   -31.473222    37.126993  -172.856725   -35.874785    37.028555  -172.954043   -35.909554
2000-01-12 12:00:00 2000.031421 51555.5  40.680604 -173.299094 -27.795545  1.150287 -0.271248   2.657699  0.454929  0.121447  2.362574  0.476117  0.189309  0.116802  0.083254  0.110906  0.085419  2.081332  0.039507   5.137075  2.164587  0.150413   5.222494    39.530317  -173.027845   -30.453244    40.225675  -173.420541   -30.158119    40.204487  -173.488403   -27.912346    40.597349  -173.409999   -27.880964    38.599271  -173.338601   -32.932620    38.516017  -173.449507   -33.018039
2000-01-13 12:00:00 2000.034153 51556.5  37.024027 -167.708680 -20.690613  1.122245 -0.271572   2.593522  0.348192  0.180588  2.542436  0.408796  0.165614  0.379242  0.060001  0.138260  0.105930  1.879233  0.074630   5.515200  1.939234  0.212890   5.621130    35.901783  -167.437108   -23.284135    36.675835  -167.889268   -23.233049    36.615231  -167.874294   -21.069855    36.964026  -167.846940   -20.796543    35.144795  -167.783310   -26.205813    35.084793  -167.921570   -26.311743
