"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2024/08/19","00:00","4.058","4.92","-"
"2024/08/19","00:06","4.331","5.23","-"
"2024/08/19","00:12","4.606","5.53","-"
"2024/08/19","00:18","4.882","5.83","-"
"2024/08/19","00:24","5.155","6.09","-"
"2024/08/19","00:30","5.426","6.38","-"
"2024/08/19","00:36","5.692","6.64","-"
"2024/08/19","00:42","5.952","6.89","-"
"2024/08/19","00:48","6.203","7.12","-"
"2024/08/19","00:54","6.446","7.4","-"
"2024/08/19","01:00","6.679","7.63","-"
"2024/08/19","01:06","6.9","7.83","-"
"2024/08/19","01:12","7.109","8.02","-"
"2024/08/19","01:18","7.305","8.16","-"
"2024/08/19","01:24","7.487","8.32","-"
"2024/08/19","01:30","7.656","8.47","-"
"2024/08/19","01:36","7.81","8.66","-"
"2024/08/19","01:42","7.951","8.82","-"
"2024/08/19","01:48","8.078","8.94","-"
"2024/08/19","01:54","8.191","9.04","-"
"2024/08/19","02:00","8.29","9.14","-"
"2024/08/19","02:06","8.377","9.23","-"
"2024/08/19","02:12","8.451","9.29","-"
"2024/08/19","02:18","8.514","9.33","-"
"2024/08/19","02:24","8.566","9.39","-"
"2024/08/19","02:30","8.607","9.46","-"
"2024/08/19","02:36","8.639","9.49","-"
"2024/08/19","02:42","8.661","9.51","-"
"2024/08/19","02:48","8.676","9.54","-"
"2024/08/19","02:54","8.682","9.55","-"
"2024/08/19","03:00","8.681","9.55","-"
"2024/08/19","03:06","8.673","9.56","-"
"2024/08/19","03:12","8.659","9.57","-"
"2024/08/19","03:18","8.639","9.57","-"
"2024/08/19","03:24","8.613","9.59","-"
"2024/08/19","03:30","8.58","9.59","-"
"2024/08/19","03:36","8.542","9.59","-"
"2024/08/19","03:42","8.498","9.59","-"
"2024/08/19","03:48","8.448","9.6","-"
"2024/08/19","03:54","8.392","9.59","-"
"2024/08/19","04:00","8.329","9.58","-"
"2024/08/19","04:06","8.259","9.55","-"
"2024/08/19","04:12","8.182","9.5","-"
"2024/08/19","04:18","8.097","9.46","-"
"2024/08/19","04:24","8.004","9.39","-"
"2024/08/19","04:30","7.903","9.31","-"
"2024/08/19","04:36","7.794","9.21","-"
"2024/08/19","04:42","7.675","9.11","-"
"2024/08/19","04:48","7.547","8.96","-"
"2024/08/19","04:54","7.41","8.82","-"
"2024/08/19","05:00","7.263","8.69","-"
"2024/08/19","05:06","7.106","8.54","-"
"2024/08/19","05:12","6.94","8.35","-"
"2024/08/19","05:18","6.764","8.14","-"
"2024/08/19","05:24","6.578","7.94","-"
"2024/08/19","05:30","6.384","7.71","-"
"2024/08/19","05:36","6.181","7.48","-"
"2024/08/19","05:42","5.97","7.23","-"
"2024/08/19","05:48","5.751","6.98","-"
"2024/08/19","05:54","5.525","6.73","-"
"2024/08/19","06:00","5.293","6.46","-"
"2024/08/19","06:06","5.055","6.21","-"
"2024/08/19","06:12","4.814","5.96","-"
